"","sample.name","file","Sequencing_facility","Sample_type","LibraryKit","Sequencing_platform","Sequencing_lane","Origin","Technical_dup","Target_species","Init_read_count","Init_q30_perc","Quality_trimmed_read_count","MIN_NREADS_10M_filter","Duplicate_removed_reads_count","Mapped_reads_count","Mapping_Perc","MIN_MAPPERC_80_NMAP_10M_filter","Primary_Mapped_reads_count","Properly_Paired_reads_count"
"13","RRAP-ECO03-2022-Amil-OCCH-139B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-139B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",35740706,89.41,NA,"PASS",28348920,31353890,95.4830110052215,"PASS","25515075","22593792"
"14","RRAP-ECO03-2022-Amil-OCCH-141B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-141B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",29586140,91.27,NA,"PASS",23635992,31381246,96.67354547518,"PASS","20170774","17914192"
"15","RRAP-ECO03-2022-Amil-OCCH-142B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-142B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",41006868,91.48,NA,"PASS",32837140,32536045,95.5339692879385,"PASS","30537752","27846228"
"16","RRAP-ECO03-2022-Amil-OCCH-143B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-143B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",41470938,90.47,NA,"PASS",32461048,33018968,96.0728933817674,"PASS","29357455","26077318"
"17","RRAP-ECO03-2022-Amil-OCCH-144B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-144B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",42523572,91.12,NA,"PASS",34057043,19339654,54.9109245961277,"FAIL","30943850","28332106"
"18","RRAP-ECO03-2022-Amil-OCCH-146B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-146B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",42237484,91.61,NA,"PASS",33991612,30489529,97.1419560295389,"PASS","27507102","24766698"
"19","RRAP-ECO03-2022-Amil-OCCH-148B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-148B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",46280840,91.27,NA,"PASS",36116839,33097596,97.3698923134331,"PASS","32535047","28922088"
"20","RRAP-ECO03-2022-Amil-OCCH-149B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-149B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",42092672,91.03,NA,"PASS",37470880,33776212,96.9451783279519,"PASS","10831755","10168952"
"21","RRAP-ECO03-2022-Amil-OCCH-150B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-150B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",50344632,91.36,NA,"PASS",38884268,32928644,95.351276057047,"PASS","31322769","28753026"
"22","RRAP-ECO03-2022-Amil-OCCH-151B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-151B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",39609588,91.41,NA,"PASS",31386571,35745622,95.3957366360224,"PASS","28949960","25808584"
"23","RRAP-ECO03-2022-Amil-OCCH-152B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-152B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",45924102,91.03,NA,"PASS",36471304,34794834,95.3396172565339,"PASS","33021979","29914292"
"24","RRAP-ECO03-2022-Amil-OCCH-153B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-153B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",43476094,91.59,NA,"PASS",34840528,31202997,86.394595606775,"PASS","31626316","29060694"
"25","RRAP-ECO03-2022-Amil-OCCH-155B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-155B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",43267518,90.95,NA,"PASS",34534036,30642676,84.018591712542,"PASS","31839528","28708754"
"26","RRAP-ECO03-2022-Amil-OCCH-156B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-156B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",46324208,91.87,NA,"PASS",36495672,38116904,98.0265437940094,"PASS","33475758","30207670"
"27","RRAP-ECO03-2022-Amil-OCCH-157B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-157B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",48224118,91.2,NA,"PASS",37448520,28952296,97.4103419844577,"PASS","33658136","30237172"
"28","RRAP-ECO03-2022-Amil-OCCH-158B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-158B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",37615236,90.69,NA,"PASS",29398319,28585149,97.2339574926036,"PASS","27123255","24007612"
"29","RRAP-ECO03-2022-Amil-OCCH-162B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-162B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",40936908,91.31,NA,"PASS",31832913,29358871,95.1223800042217,"PASS","29259174","25988676"
"30","RRAP-ECO03-2022-Amil-OCCH-163B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-163B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",41079592,91.69,NA,"PASS",34166209,29615647,94.4414775228932,"PASS","24993368","22860570"
"31","RRAP-ECO03-2022-Amil-OCCH-164B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-164B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",37083590,91.6,NA,"PASS",29721994,30716301,96.4922720079058,"PASS","26699359","23698590"
"32","RRAP-ECO03-2022-Amil-OCCH-165B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-165B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",63757874,91.5,NA,"PASS",50349134,32294535,94.5218563756956,"PASS","46210930","41708676"
"33","RRAP-ECO03-2022-Amil-OCCH-166B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-166B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",47198796,91.32,NA,"PASS",37125294,11209234,30.1929837915896,"FAIL","34018582","30136918"
"34","RRAP-ECO03-2022-Amil-OCDA-100B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-100B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",39474704,90.59,NA,"PASS",30864315,35800204,95.5984482163781,"PASS","28582487","25414858"
"35","RRAP-ECO03-2022-Amil-OCDA-101B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-101B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",39632326,90.8,NA,"PASS",31358729,42610506,84.6300673215154,"PASS","27993614","24795348"
"36","RRAP-ECO03-2022-Amil-OCDA-102B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-102B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",36663256,91,NA,"PASS",29396867,28160769,95.7951369443553,"PASS","26747507","24068046"
"37","RRAP-ECO03-2022-Amil-OCDA-133B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-133B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",43835358,91.59,NA,"PASS",35167290,31017988,97.0099299950704,"PASS","32071055","28899796"
"38","RRAP-ECO03-2022-Amil-OCDA-140B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-140B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",47859652,91.11,NA,"PASS",37223782,33888062,96.3624493101402,"PASS","33323187","28762448"
"39","RRAP-ECO03-2022-Amil-OCDA-15B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-15B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",40900058,90.81,NA,"PASS",31974034,35628993,95.1947546555037,"PASS","29411826","25993032"
"40","RRAP-ECO03-2022-Amil-OCDA-16B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-16B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",46263410,90.52,NA,"PASS",37427475,27455534,73.7580453270439,"FAIL","26154391","23794942"
"41","RRAP-ECO03-2022-Amil-OCDA-42B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-42B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",52411058,91.01,NA,"PASS",41480548,29488316,96.3290492933016,"PASS","34810484","31070274"
"42","RRAP-ECO03-2022-Amil-OCDA-43B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-43B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",52590236,91.25,NA,"PASS",41089287,30267543,97.4294059893594,"PASS","35605555","31928222"
"43","RRAP-ECO03-2022-Amil-OCDA-45B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-45B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",43293896,91.5,NA,"PASS",34512181,33636439,97.4625133079825,"PASS","31794342","28683948"
"44","RRAP-ECO03-2022-Amil-OCDA-46B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-46B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",38077128,91.52,NA,"PASS",30612070,33765432,97.5019604097149,"PASS","27993107","25041212"
"45","RRAP-ECO03-2022-Amil-OCDA-49B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-49B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",45897546,91.21,NA,"PASS",34630516,34755721,96.6052418687411,"PASS","31600717","28033082"
"46","RRAP-ECO03-2022-Amil-OCDA-50B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-50B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",44555788,90.97,NA,"PASS",35415506,34354292,97.0035328593074,"PASS","32246590","28256400"
"47","RRAP-ECO03-2022-Amil-OCDA-5B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-5B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",46619688,91.85,NA,"PASS",35977055,37588143,91.4791804491521,"PASS","33317829","30086118"
"48","RRAP-ECO03-2022-Amil-OCDA-64B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-64B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",39209478,90.98,NA,"PASS",31066127,36842988,88.81991626533,"PASS","28705176","25411784"
"49","RRAP-ECO03-2022-Amil-OCDA-68B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-68B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",40064958,91.13,NA,"PASS",31619788,26924746,95.9331240231564,"PASS","28811523","25878272"
"50","RRAP-ECO03-2022-Amil-OCDA-72B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-72B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",43266510,91.61,NA,"PASS",34979811,29815010,98.29519949023,"PASS","29278066","26300540"
"51","RRAP-ECO03-2022-Amil-OCDA-82B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-82B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",37973310,91.27,NA,"PASS",30747631,29500335,95.9434403255327,"PASS","28453883","25070266"
"52","RRAP-ECO03-2022-Amil-OCDA-83B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-83B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",45956134,91.31,NA,"PASS",35808289,29675382,93.8506671834738,"PASS","32252410","29214546"
"53","RRAP-ECO03-2022-Amil-OCDA-87B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-87B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",46525116,91.62,NA,"PASS",36949211,34359377,98.2263083125292,"PASS","34330908","30592340"
"54","RRAP-ECO03-2022-Amil-OCDA-88B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-88B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",39131116,89.42,NA,"PASS",30332112,34039243,95.0596745909865,"PASS","26966308","24223424"
"55","RRAP-ECO03-2022-Amil-OCDA-89B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-89B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",35348722,90.56,NA,"PASS",28066162,32927833,89.1164712556379,"PASS","25564529","22881936"
"56","RRAP-ECO03-2022-Amil-OCDA-8B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-8B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",47066368,92.12,NA,"PASS",38402460,30180464,97.1214081962901,"PASS","24846400","22619310"
"57","RRAP-ECO03-2022-Amil-OCDA-91B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-91B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",39282428,91.69,NA,"PASS",32169569,31348105,97.4464563078231,"PASS","25091353","22669058"
"58","RRAP-ECO03-2022-Amil-OCDA-95B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-95B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",49702044,91.26,NA,"PASS",38707167,33679899,94.729939405565,"PASS","35865133","32157226"
"59","RRAP-ECO03-2022-Amil-OCDA-98B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-98B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",46820282,89.97,NA,"PASS",36158016,34291601,97.6218336339143,"PASS","32936488","29357716"
"60","RRAP-ECO03-2022-Amil-OCDA-99B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCDA-99B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",44170694,90.98,NA,"PASS",35126979,34725500,96.03817864343,"PASS","32548308","29125656"
"61","RRAP-ECO03-2022-Amil-OCLB-172B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCLB-172B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",39155954,91.97,NA,"PASS",31074986,36737534,95.6645329491913,"PASS","28595963","25512326"
"62","RRAP-ECO03-2022-Amil-OCLB-173B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCLB-173B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",44173850,92.28,NA,"PASS",35553595,33026289,85.3234466888264,"PASS","32007693","29338304"
"63","RRAP-ECO03-2022-Amil-PAPE-198B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-PAPE-198B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",54547254,91.41,NA,"PASS",40735102,28757440,70.5962145375259,"FAIL","37010784","33367072"
"64","RRAP-ECO03-2022-Amil-PAPE-199B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-PAPE-199B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",52302408,91.78,NA,"PASS",40919185,34558003,96.2253320975163,"PASS","36891193","33220994"
"65","RRAP-ECO03-2022-Amil-PAPE-200B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-PAPE-200B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",49694222,91.86,NA,"PASS",37795376,35869420,94.9042549543627,"PASS","33895134","30244590"
"66","RRAP-ECT01-2022-Ahya-21-550-34a","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-21-550-34a_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",54357650,91.52,NA,"PASS",43096948,38901233,95.0684452781745,"PASS","39158463","35446586"
"67","RRAP-ECT01-2022-Ahya-21-550-4a","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-21-550-4a_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",44557294,91.79,NA,"PASS",35913623,41552090,96.4153888576982,"PASS","32483646","28633306"
"68","RRAP-ECT01-2022-Ahya-HICK-1b","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-HICK-1b_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",41853812,91.27,NA,"PASS",33031820,28928709,95.9797901933474,"PASS","29757579","25968390"
"69","RRAP-ECT01-2022-Ahya-KELS-188","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-KELS-188_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",42835288,90.55,NA,"PASS",33526104,28549896,95.2811655648942,"PASS","29903057","26134664"
"70","RRAP-ECT01-2022-Ahya-KELS-209","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-KELS-209_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",37876702,90.89,NA,"PASS",29963840,31683648,95.9185657950425,"PASS","27031626","23625064"
"71","RRAP-ECT01-2022-Ahya-KELS-210","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-KELS-210_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",36792150,91.72,NA,"PASS",30140417,32158642,95.9212021772646,"PASS","27085932","24374294"
"72","RRAP-ECT01-2022-Ahya-MART-139","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-MART-139_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",48450558,92.25,NA,"PASS",39331005,32747129,95.1647754726638,"PASS","36397299","33815698"
"73","RRAP-ECT01-2022-Ahya-NTDR-45b","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-NTDR-45b_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",44322156,90.89,NA,"PASS",34410977,38355283,97.5192039969485,"PASS","31056083","27189806"
"74","RRAP-ECT01-2022-Ahya-OCDA-358","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-OCDA-358_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",47944318,90.75,NA,"PASS",37219568,20972838,96.0067335696205,"PASS","33370439","29032182"
"75","RRAP-ECT01-2022-Ahya-ONMO-385","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECT01-2022-Ahya-ONMO-385_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECT01_ASpath_GBR",FALSE,"Ahya",41939976,90.64,NA,"PASS",33350923,23352424,94.8869877162752,"PASS","29088265","25835174"
